date,City,State,Dead,Injured,Total,Description
"September 25, 2021",Utica ,New York,0,4,4,Four men were wounded in the early morning.
"September 25, 2021",Chattanooga,Tennessee,2,5,7,Responding police found two adults killed and four adults and a child wounded.
"September 25, 2021",Riverside,California,0,6,6,Shortly after midnight six people were wounded at a large house party.
"September 25, 2021",Athens,Tennessee,4,0,4,Two adults arrived at a home and engaged in an argument with the four adults there over a 10-month old. The dispute escalated and the four adults living at the home were killed and the two suspects kidnapped the child.
"September 24, 2021",Aiken,South Carolina,4,1,5,A man murdered his parents and sister and wounded another sibling before committing suicide.
"September 24, 2021",Los Angeles ,California,0,4,4,Four people were wounded at the Rosa Parks Metro Station in Willowbrook.
"September 23, 2021",Collierville,Tennessee,2,14,16,"Collierville Kroger shooting: A worker at a third-party venue inside the store opened fire in a Kroger, killing one and injuring 14, before taking his own life."
"September 23, 2021",Philadelphia ,Pennsylvania,0,4,4,Four men were wounded in the Mantua neighborhood.
"September 22, 2021",Fayetteville ,North Carolina,2,2,4,Two teenagers were killed and two others injured in a home invasion. Three days earlier a relative of the two deceased had been killed in another home.
"September 21, 2021","Washington, D.C. ","Washington, D.C.",0,5,5,"A man opened fire and wounded four adults and one child near Alabama Avenue, Southeast."
"September 20, 2021",El Monte,California,1,4,5,"A man was killed and four others wounded, with the deceased found behind the wheel of a vehicle."
"September 20, 2021",Philadelphia ,Pennsylvania,1,5,6,A man was killed and five others injured in a drive-by shooting in the Fern Rock neighborhood.
"September 20, 2021",St. Louis ,Missouri,1,3,4,"A man was killed and three others wounded while at a vigil for another homicide victim, when a group of people opened fire from a black SUV."
"September 19, 2021",Yemassee,South Carolina,1,7,7,After an argument escalated someone opened fire shortly after midnight killing one adult and wounding one adult and seven children.
"September 19, 2021",Miami ,Florida,0,4,4,"During an argument one of the victims pulled out her gun and pointed it at the ground, after things calmed down she put it away and began to enter a car with her husband, and two children. The man she was arguing with opened fire once they got to the car, wounding her, her husband and two children."
"September 19, 2021",Dallas ,Texas,2,4,6,Two adults were killed and three others and a teenager wounded shortly after midnight when a man opened fire.
"September 19, 2021",Oakland ,California,1,3,4,A man was killed and three others wounded in the early morning while outside a club.
"September 19, 2021",Chicago ,Illinois,0,5,5,"Five people were wounded while sitting on a porch in Austin during the early morning, after two men exited a vehicle and opened fire."
"September 19, 2021",Rochester ,New York,2,2,4,"Two people were killed and two injured after someone shot down an alley at a group standing outside, who were attending a party. The shooting occurred on the anniversary of a similar mass shooting in 2020."
"September 18, 2021",New York City ,New York,1,3,4,"A man was killed and three others wounded at a BBQ at Claremont Park in the Bronx, after an argument escalated."
"September 18, 2021",Danville ,Illinois,2,2,4,Two people were killed and two wounded at a liquor store in the early morning.
"September 18, 2021",New York City ,New York,0,4,4,Four people were shot outside a club in the East Flatbush area of Brooklyn after a dispute.
"September 18, 2021",Opelousas,Louisiana,0,5,5,Five family members were injured after a gunman opened fire on their mobile home at night.
"September 17, 2021",Augusta ,Georgia,0,4,4,Four people were wounded in the early morning at a night club. Two men were later arrested.
"September 14, 2021",Baltimore ,Maryland,0,4,4,Three teenagers and a boy were injured in a shooting.
"September 14, 2021",Cleveland ,Ohio,0,6,6,Six people were wounded after an incident at a liquor store escalated.
"September 13, 2021",Milwaukee ,Wisconsin,0,5,5,Five people were wounded in a shooting at a candlelight vigil near the intersection in Sherman Park.
"September 12, 2021",Saint Paul ,Minnesota,4,0,4,"An SUV with four deceased adults was found in a local cornfield in Wheeler, Wisconsin. It was discovered later that the four victims were shot in Saint Paul following an argument at a bar with the shooter. The perpetrator's father followed his son in a vehicle on the way to Wheeler and then gave his son a ride home after his son abandoned the SUV in the cornfield."
"September 12, 2021",Temple,Texas,0,4,4,Four people were found wounded from a shooting.
"September 12, 2021",Detroit ,Michigan,2,4,6,Two women were killed and four others wounded in a drive-by shooting that targeted a family birthday party.
"September 12, 2021",Blue Island,Illinois,2,2,4,"Three people were found wounded on the street by police, and a fourth victim was located after he fled to the hospital. Two of the victims perished at the hospital."
"September 11, 2021",Dothan,Alabama,0,5,5,Five teenagers were wounded at a party at a local shopping center.
"September 11, 2021",Chicago ,Illinois,1,3,4,A man was killed and three others injured in South Side drive-by shooting.
"September 11, 2021",Chicago ,Illinois,1,5,6,A woman was killed and four adults and a teenager wounded in a West Pullman drive-by while walking as a group.
"September 11, 2021",Paterson ,New Jersey,0,4,4,Responding officers discovered two wounded from an early morning shooting. Two others arrived were identified at the hospital.
"September 11, 2021",Utica ,New York,0,4,4,Responding officers found four men wounded.
"September 10, 2021",Orlando ,Florida,0,4,4,"Deputies were called after a man got drunk and fired shots into the air. He then opened fire on the security guard and officers, before driving down the road, getting into a car accident and opening fire on those in the car. He wounded the security guards and three in the vehicle."
"September 9, 2021",East St. Louis ,Illinois,0,7,7,Six adults and a child were wounded in a drive-by shooting. The suspects attempted to flee the area but were hit by a MetroLink train.
"September 9, 2021",Montgomery ,Alabama,1,3,4,Responding officers found one child deceased and two adults and another child injured.
"September 8, 2021",St. Louis ,Missouri,0,4,4,Four people were wounded after two men got into an argument after one was seen arguing and pistol whipping a woman.
"September 7, 2021",Wichita ,Kansas,1,5,6,"After getting kicked out of a night club shortly after midnight, a man opened fire killed a man and wounded five women."
"September 7, 2021",Wilmington ,Delaware,0,4,4,Four people were wounded in a local park in the Southbridge neighborhood after a drive-by shooting.
"September 6, 2021",Atlanta ,Georgia,0,5,5,"A man opened fire after an argument at a local Black Pride festival, wounding five."
"September 5, 2021",Detroit ,Michigan,0,4,4,Four men were injured in a shooting outside a rollerskating rink on Eight Mile Road in the west side.
"September 5, 2021",Independence,Missouri,0,4,4,An adult and three teenagers were wounded at a local festival after two people got into an argument and one opened fire.
"September 5, 2021",New York City ,New York,0,4,4,Four adults were wounded outside a catering hall in the Bronx after an argument escalated.
"September 5, 2021",Wyatt,Missouri,0,4,4,Four adults were wounded at a family car show after two men opened fire on the crowd in suspected gang violence.
"September 5, 2021",Houston ,Texas,4,0,4,Firefighters discovered a husband and wife and two children deceased when responding to a house fire. Family members believe the family had been dead for days before the fire.
"September 5, 2021",Athens,Georgia,0,7,7,A man fired into a crowd of people that were fighting in the early morning. He wounded seven and turned himself in the next day.
"September 5, 2021",Lakeland,Florida,4,2,6,"A former Marine sharpshooter shot and killed three adults, an infant, and a dog and wounded a child inside and outside a home, before engaging in a shootout with police. The shooter was eventually injured in the gunfight and then apprehended."
"September 5, 2021",Cincinnati ,Ohio,0,4,4,"Three adults and a teenager were wounded after an argument outside a Mt. Washington home. The victims went inside, before the suspect fired through the door."
